City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
25,manaure,11.7751,-72.4445,29.38,55,44,10.68,CO,2023-02-07 20:34:48
26,kilindoni,-7.9139,39.6668,27.61,79,100,6.84,TZ,2023-02-07 20:34:48
27,barrow,71.2906,-156.7887,-21.99,77,100,4.12,US,2023-02-07 20:34:50
28,busselton,-33.65,115.3333,16.2,90,19,4.18,AU,2023-02-07 20:34:44
29,talnakh,69.4865,88.3972,-22.33,98,100,2.94,RU,2023-02-07 20:33:50
30,hilo,19.7297,-155.09,25.16,97,100,2.06,US,2023-02-07 20:30:00
31,puerto ayora,-0.7393,-90.3518,28.98,89,27,5.81,EC,2023-02-07 20:32:48
32,gazojak,41.1875,61.4036,6.04,62,100,7.87,TM,2023-02-07 20:34:50
33,fortuna,40.5982,-124.1573,12.74,72,84,0.45,US,2023-02-07 20:34:51
34,deputatskiy,69.3,139.9,-43.76,99,58,1.91,RU,2023-02-07 20:34:51
35,srednekolymsk,67.45,153.6833,-35.38,99,100,2.4,RU,2023-02-07 20:34:52
36,butaritari,3.0707,172.7902,27.27,80,100,10.26,KI,2023-02-07 20:31:55
37,palmer,42.1584,-72.3287,5.08,30,75,4.63,US,2023-02-07 20:34:52
38,mataura,-46.1927,168.8643,9.15,88,86,3.58,NZ,2023-02-07 20:34:52
39,rocha,-34.4833,-54.3333,26.59,52,47,6.66,UY,2023-02-07 20:34:34
40,punta arenas,-53.15,-70.9167,17.01,51,75,8.23,CL,2023-02-07 20:30:45
41,lavrentiya,65.5833,-171.0,-25.56,90,100,1.66,RU,2023-02-07 20:34:53
42,hithadhoo,-0.6,73.0833,27.37,69,99,3.57,MV,2023-02-07 20:34:53
43,kruisfontein,-34.0033,24.7314,21.6,82,99,1.15,ZA,2023-02-07 20:34:53
44,tarata,-17.6167,-66.0167,22.68,64,99,1.34,BO,2023-02-07 20:34:54
45,laguna,38.421,-121.4238,15.17,61,0,0.89,US,2023-02-07 20:34:54
46,santa fe do sul,-20.2111,-50.9258,25.43,78,52,3.21,BR,2023-02-07 20:34:54
47,longyan,25.1072,117.0225,16.27,99,100,1.08,CN,2023-02-07 20:34:55
48,port alfred,-33.5906,26.891,21.77,90,100,0.89,ZA,2023-02-07 20:34:55
49,bethel,41.3712,-73.414,4.64,51,0,5.14,US,2023-02-07 20:34:56
50,sambava,-14.2667,50.1667,24.12,89,77,3.24,MG,2023-02-07 20:34:56
